Erlang,Mean,Intval_0-1
100.0,0.0,0.0
120.0,2.0972628109511927e-05,2.7162811209038116e-05
140.0,0.00011920914845878646,0.0001363949153454998
160.0,0.0002728800940577847,0.00030200584228391275
180.0,0.0008211906589966035,0.0008704775837054303
200.0,0.001866337622318277,0.0019354854685154827
220.0,0.0036132134121718796,0.0037374964954605527
240.0,0.006689314858916511,0.006873798509508688
260.0,0.010076968361532306,0.010266332065569088
280.0,0.01554527324948762,0.01579474749432393
300.0,0.02126759816832268,0.021423625554896363
